row_no	name	url	gazette_no	gazette_date	can_donate_offline	can_donate_online
43	Little Sisters of the Poor	https://mclloydbis.com/profile/237768/little-sisters-of-the-poor.html?fbclid=IwAR3Xnr6tWDPCO40pO-vJPdEkOQ4V5959e58lXcP6s5ghaGVrKuqmMfqV2JU	IRD Act No 28 of 1979(02-573)	24.02.1994	NO	NO
67	Ramakrishna Sarada Mission	https://rsmlanka.webs.com/	3-669/3��	16.03.1973	NO	NO
45	Shilpa Children�s Trust	https://shilpa.org/	513	01.07.1988	NO	NO
55	All Ceylon Buddhist Congress	https://www.acbc.lk/	10812	01.07.1955	NO	NO
1	Hindu Women�s Society Limited Colombo	https://www.facebook.com/CYWHA/	10693	16.07.1954	NO	NO
66	Isha Athul Islam Home for the Orphans	https://www.facebook.com/pg/ishaathulislam	43/83�	23.08.1984	NO	NO
27	Kalutara Bodhi Trust	https://www.kalutarabodhiya.org/	368	20.09.1985	NO	NO
39	Mallika Nivasa Samithiya (Society) Limited	https://www.mallikahomes.org/	10889	03.02.1956	NO	NO
20	Saviya Development Foundation	https://www.peaceinsight.org/en/organisations/sdf/	90/0476-26	04.12.1995	NO	NO
7	"Rohana (blind, deaf )Special School and Hostel"	https://www.rohanaspecialschool.org/	LDB 7/13	04.10.1972	NO	NO
28	Seemasahitha Sarvodaya Suwasetha Seva Samithiya	https://www.sarvodayasuwasetha.org/	462	09.07.1987	NO	NO
9	Amaraseela Elders� Home		618	06.07.1990	NO	NO
64	Angel Foundation				NO	NO
63	Anuradapura Deaf & Blind school Society Ltd		387	31.01.1986	NO	NO
76	_Appeal for Children Committee of Ceylon		_10782		NO	NO
8	Charles & Roslene Fernando Trust		ACT No. 28 of 1979	1997 April;	NO	NO
53	Children�s Corner Orphanage�		38 of 2000	27.06.2003	NO	NO
36	Community Development & Social Services Project of the Church of St. Mary & St. John		3-435 � Gazete No. 186	26.03.1092	NO	NO
26	Dev Suwa Sevawa		185	10.10.1975	NO	NO
42	Don Bosco Boy�s Home		1192	06.07.2001	NO	NO
61	Don Bosco Trust		1541	14.03.2008	NO	NO
44	Friends of Marscri		462	09.07.1987	NO	NO
48	Galkissa Buddha Samithiya�Sri Senarath Gunawardana Children�s Development Centre		14892	27.01.1970	NO	NO
47	Gamsiri Uda Samithiya Limited		246	31.12.1976	NO	NO
10	"Hanwella Social Services Society, Sende Sarana Elders Home"		425	24.10.1986	NO	NO
32	Jagaddala Social Welfare Institute		1660	24.06.2010	NO	NO
70	Kaluthara Buddhist society			_________	NO	NO
50	Kandy Buddhist Women Society Jajawickrema Lama Nivasa				NO	NO
78	Lotus Hill Home for Disabled Children		53601	21.11.2017	NO	NO
15	Maha Mahinda Dharmaduta Special Fund		965/15/150(SB/EP)	28.03.1964	NO	NO
60	Mahabodhi Society of Ceylon		777	18.06.1999	NO	NO
29	Matara Bauddha Kantha Samithiya		10947	06.07.1956	NO	NO
12	Matugama Social Services Society Ltd		1063/16	21.01.1999	NO	NO
56	Methodist Trust Association of Ceylon		237/20	25.03.1983	NO	NO
3	Muhandiram D F Perera Abayasiriwardhana Elders Home				NO	NO
52	Muslim Ladies Arabic College Managing Society		13998	28.03.1964	NO	NO
69	Panadura Child Welfare & social Service League� ( Morawinna Girls home)		10490�	23.01.1953	NO	NO
37	Pihimbiyahena Elder�s Home		1584	09.01.2009	NO	NO
13	Piliyandala Young Men�s Buddhist Association		28	16.03.1979	NO	NO
31	Pradeepaloka Buddhist Balika Home		1842	31.12.1965	NO	NO
18	Sarana Nikethanaya		1395	27.05.2005	NO	NO
41	Sarana Women�s Elderly Home		IRD Act No. 34(2)(a) of N0. 10 of 2006	27.02.2008	NO	NO
46	Shanthi Nivasa		1667	13.08.2010	NO	NO
74	_Special Educational Service Society		_411	18.07.1986_	NO	NO
30	Sri Paramananda Children�s & Elder�s Home		14930	30.10.1970	NO	NO
34	Sri Punyawardhana Samithiya		13998	28.03.1964	NO	NO
38	Sri Sucharithadhara Upasika Samithiya Ltd		10947		NO	NO
40	St/ Margaret Home		10_468	07.11.1952	NO	NO
73	_The Ceylon School For the Deaf and Blind		"_10,411"	06.06.1952_	NO	NO
65	The King George the fifth Silver Jubilee Commemoration society		10332�	21.12.1951_	NO	NO
57	The Oblates of Mary Immaculata Province of Sri Lanka�		305�of 84.07.06	13.06.1984	NO	NO
59	The Senkadagala Deaf & Blind Society Ltd			31.01.1969	NO	NO
